nationID,nationCode,continent,nationName
80000,ALB,EU,Albania
120000,DZA,AF,Algeria
320100,QAR,SA,Argentina - Ciudad Autónoma de Buenos
360000,AUS,AP,Australia
400000,AUT,EU,Austria
560000,BEL,EU,Belgium
760000,BRA,SA,Brazil
1000000,BGR,EU,Bulgaria
1240000,CAN,NA,Canada
1520000,CHL,SA,Chile
1580000,TWN,AP,Taiwan
1700000,COL,SA,Colombia
1880000,CRI,SA,Costa Rica
1910000,HRV,EU,Croatia
2030000,CZE,EU,Czech Republic
2080000,DNK,EU,Denmark
2140000,DOM,NA,Dominican Republic
2330000,EST,EU,Estonia
2460000,FIN,EU,Finland
2500000,FRA,EU,France
2680000,GEO,NA,Georgia
2760000,DEU,EU,Germany
3000000,GRC,EU,Greece
3440000,HKG,AP,Hong Kong
3480000,HUN,EU,Hungary
3520000,ISL,EU,Iceland
3600000,IDN,AP,Indonesia
3720000,IRL,EU,Ireland
3760000,ISR,AP,Israel
3800000,ITA,EU,Italy
3920000,JPN,AP,Japan
4000000,JOR,AP,Jordan
4100000,KOR,AP,Korea
4110000,KSV,EU,Kosovo
4220000,LBN,AP,Lebanon
4280000,LVA,EU,Latvia
4400000,LTU,EU,Lithuania
4420000,LUX,EU,Luxembourg
4460000,MAC,AP,Macao
4700000,MLT,EU,Malta
4840000,MEX,SA,Mexico
4980000,MDA,EU,Moldova
4990000,MNE,EU,Montenegro
5280000,NLD,EU,Netherlands
5540000,NZL,AP,New Zealand
5780000,NOR,EU,Norway
6040000,PER,SA,Peru
6160000,POL,EU,Poland
6200000,PRT,EU,Portugal
6300000,QUD,EU,Puerto Rico (USA)
6340000,QAT,AP,Qatar
6420000,ROU,EU,Romania
6430000,RUS,EU,Russian Federation
7020000,SGP,AP,Singapore
7030000,SVK,EU,Slovak Republic
7040000,VNM,AP,Vietnam
7050000,SVN,EU,Slovenia
7240000,ESP,EU,Spain
7520000,SWE,EU,Sweden
7560000,CHE,EU,Switzerland
7640000,THA,AP,Thailand
7800000,TTO,SA,Trinidad and Tobago
7840000,ARE,AP,United Arab Emirates
7880000,TUN,AF,Tunisia
7920000,TUR,AP,Turkey
8070000,MKD,EU,FYROM
8260000,GBR,EU,United Kingdom
8400000,USA,NA,United States
8580000,URY,SA,Uruguay
9700000,CHN,AP,China
