CountryName,Mathematics,Reading,Science
Albania,412.8450773921397,405.5193970661557,427.0279995014379
Algeria,358.84633103823126,349.4776138068485,375.462291628918
Australia,482.8379029731594,491.6009292842394,498.74966876118077
Austria,498.8541367061499,486.0200100470951,496.8475599971454
Belgium,510.32442535488434,501.7655050046656,505.4280814423395
Brazil,374.3863665399092,404.44935933192136,398.440287204532
Bulgaria,443.1941724527652,434.68401008771934,448.02878238866583
Canada,504.5201884136006,514.1247623093033,516.3110840562351
Chile,442.19527126045574,475.53910086488,465.12386112292563
China,541.3448129864832,505.8213166344903,528.0557906310341
Chinese Taipei,539.7189605734296,495.6948179683441,530.6005367540229
Colombia,397.3778070453585,436.0549612717283,424.29806389995616
Costa Rica,400.19134410136917,427.11738639673786,419.74533849402843
Croatia,464.9783667584797,487.7768833189894,476.4892179721133
Czech Republic,502.55953375398724,498.4047064838987,503.54250865970374
Denmark,497.60777746124666,487.26005863706115,486.4423601871237
Dominican Republic,331.2542218776373,362.3829360337565,334.7188578902949
Estonia,520.8482030785727,520.8161689636654,535.6445056917842
FYROM,368.6810219008257,348.0879529676942,380.8520307851234
Finland,511.8668581944901,527.6467240734439,531.5717846140773
France,496.574038785201,503.66784839554725,498.7601659954161
Georgia,406.25855904815603,404.0574234762978,413.00605244544755
Germany,508.7427083333324,512.1565368542423,512.2071820725682
Greece,461.6892281453357,476.80114661966616,463.68662192697064
Hong Kong,550.7246067549922,528.8537019593191,525.6105976114953
Hungary,484.7345204665965,477.2512673736291,484.73021841640127
Iceland,488.79352726193923,482.4178840700083,473.7223415603672
Indonesia,393.0334403961298,403.84457822815943,409.27878774758125
Ireland,503.4118350287419,520.7475866225392,502.5507354990411
Israel,471.6384838132777,482.2791490754766,469.5372354046692
Italy,499.7933315893989,492.879151515149,492.37708879392216
Japan,532.5147509553216,516.2541238453434,538.7714473597143
Jordan,382.93564115866064,411.5360576441439,411.8081248383117
Korea,523.3867280415685,516.7146106074183,515.195807310517
Kosovo,356.83488887277304,339.7507414836304,372.7549121840026
Latvia,484.21629969192765,488.93248558225486,491.2193071677965
Lebanon,401.541032270127,352.3898579190498,390.7969769687636
Lithuania,474.01882859770086,465.5505872337154,468.22796665133967
Luxembourg,486.44988867710805,482.2880619739583,483.51327673145954
Macao,543.9004649016968,508.7641986371761,528.6424228999122
Malta,483.5304832416068,451.8782295266926,469.8907787286734
Mexico,413.195273731501,428.98584100158587,420.33317255549724
Moldova,419.8967867605625,417.1894815586838,427.8400864413147
Montenegro,416.49330834951473,424.38581888790753,409.74080875551687
Netherlands,513.9087452553384,504.95168701949723,510.6544728690805
New Zealand,495.8281530530968,509.9622855309718,513.7503311061952
Norway,501.1038580278598,513.2523473240476,497.84491849340185
Peru,387.89834884521593,399.09378117917095,397.68456895710847
Poland,505.2803975882076,506.54144957570287,502.18419912907603
Portugal,480.9538344709904,486.5671568600701,489.69275047098904
Puerto Rico (USA),382.38711087267575,416.348720028613,408.26672753934304
Qatar,402.33620558635994,402.3204700239994,417.86518552511956
Romania,444.00931759638894,434.3304272969648,435.4317262715339
Russian Federation,494.8449425447314,495.45102180252,486.39891925116035
Singapore,556.2842941291915,526.9333106132449,546.6787329190506
Slovak Republic,477.00976023621917,454.56646096062985,462.65069833070936
Slovenia,494.4155234935997,485.94341604745597,494.4969558538869
Spain,492.5598713203264,501.2767166871407,498.97578406799397
Sweden,493.6001914437523,500.1881695859278,492.9892150971045
Switzerland,519.3659617064843,488.9187606313998,502.05643075085203
Thailand,428.7914997211789,420.2471402836706,433.942888350102
Trinidad and Tobago,416.3022714833765,427.4578677962486,424.87478435635154
Tunisia,366.5999155534879,361.56207774883705,386.348777153488
Turkey,415.8046786768449,425.4163659372352,421.90778193384193
United Arab Emirates,428.1043565680804,433.9917322721817,437.54346155149204
United Kingdom,491.50255410750844,495.1254392456028,502.90792893974776
United States,471.3979017418426,497.775031233958,498.0268022368893
Uruguay,420.2704167766418,438.4368068954143,437.02065224348377
Vietnam,496.64294679024965,489.0792612255422,525.702769945075
