CountryName,Mathematics,Reading,Science
Albania,417.5492576365659,433.83975429208385,438.7867515421769
Algeria,361.72996067415687,365.3490366292129,382.2356501498116
Australia,480.2981000418826,507.72686003071186,498.0376834706138
Austria,486.4755431019469,497.5775693290745,488.7085183560851
Belgium,502.1753884259255,509.40590073653135,499.16720145202044
Brazil,366.996475457633,414.9718476103697,396.2647473287482
Bulgaria,443.82488763726514,458.93063765497624,455.6995946865025
Canada,499.84646284174687,526.1623679505104,515.3443322091397
Chile,432.58972259999973,480.77726937142893,456.964879114287
China,539.7627513882948,516.5205039726623,524.6859001495087
Chinese Taipei,537.6090252945796,508.66109285153226,528.9922976695459
Colombia,390.66214753166685,441.3905895745368,417.60502059110013
Costa Rica,392.01924175729783,434.4182884945624,410.8613498282772
Croatia,459.76745210753234,501.5491102223698,474.58020882841055
Czech Republic,500.21735631209833,512.596778024548,500.2477943308006
Denmark,492.7723813714609,497.70250824541813,483.47371804552967
Dominican Republic,332.84353973322555,376.3634524656419,333.6486272433314
Estonia,518.0901224892393,534.843803479196,533.9203722022955
FYROM,372.06666666666695,372.61075436081245,391.50169442453233
Finland,515.6657809989536,551.538606706253,541.3769985330067
France,493.3640340083574,517.5571774991954,497.43498479588493
Georgia,412.3367900664837,433.6181657802122,421.0689053969495
Germany,500.0627071004051,522.3327054113234,506.4483880200187
Greece,459.67113008130167,493.7250558758315,466.250757612714
Hong Kong,549.7414635140198,543.3564686728969,526.3235045233639
Hungary,480.72841329824655,489.68920771929885,483.00481814035135
Iceland,489.50067736932806,502.51051562320464,475.2202698449162
Indonesia,394.666893987436,416.0676851032018,411.32539201316223
Ireland,494.8387846452529,526.5400831274263,496.78318725732413
Israel,468.35496318516533,493.3421888464691,467.7020180801747
Italy,489.4706248618789,500.1673315780397,483.88188610151843
Japan,525.3072587186472,522.664183922636,531.6296031127224
Jordan,392.007548514851,446.0757096333963,431.5882140219425
Korea,526.815024840763,537.5614723117271,519.9039835518922
Kosovo,352.2163446005267,358.99824569798153,378.04540258999145
Latvia,484.801206614304,509.94737465894985,496.3709085159165
Lebanon,391.53322248061966,359.3104544267648,389.99764924520565
Lithuania,474.3354705716967,484.1490019368953,471.3564416744772
Luxembourg,480.71941434960866,492.5876166231837,479.52616019381253
Macao,548.0580628699536,524.6588898654713,532.546695067264
Malta,486.040654748602,474.22368670390995,476.16644860335083
Mexico,408.9381941625037,436.31811380489034,415.5872217459903
Moldova,421.07424130599844,443.2945843963564,431.78886981776753
Montenegro,416.19485950920324,441.69192894262085,412.3771728256946
Netherlands,512.9299052962955,516.9071412962963,508.6851193703713
New Zealand,491.42385697828985,526.1791716880813,511.0345172352677
Norway,502.62994297856557,533.6536467479676,496.91258577235806
Peru,382.95285765895886,402.7406088150287,392.3076254335257
Poland,498.9121553191505,521.2024155273882,498.5803693979183
Portugal,476.54308824979523,495.2359534374148,485.5201423445635
Puerto Rico (USA),384.71788611111106,430.4534790277779,412.3226747222219
Qatar,408.1253874544238,428.9071944647006,429.4663922108056
Romania,443.7579610300075,443.13353888888923,438.4165358475265
Russian Federation,491.634438010943,507.802714386869,483.9151900225308
Singapore,557.8149062226702,538.6386102926332,545.0888862092174
Slovak Republic,474.26102405271837,473.61795884678725,463.20604803953734
Slovenia,493.67395549810186,510.40316035849776,498.7741754222692
Spain,486.3894288768418,510.60511300800533,495.23509471210895
Sweden,494.51106466495696,519.5492037715129,495.06554214573373
Switzerland,513.1539670466697,501.84972141075986,498.97599415746384
Thailand,429.695999161651,432.80900638435105,437.53013134135875
Trinidad and Tobago,421.72872254382423,448.9150549123518,431.42742140236453
Tunisia,363.3228233748733,372.11056803637626,384.3913714381953
Turkey,411.6952767528934,438.45287933968723,424.0170374063989
United Arab Emirates,431.70132011244004,459.29336926211954,450.30256733661264
United Kingdom,485.70545613984115,503.90738965616896,500.67202987575735
United States,465.9569845703842,507.2059195978062,493.5647062522869
Uruguay,413.3443597653778,449.18636350665884,432.5004199429309
Vietnam,496.19876009868483,499.207921381579,525.460803980263
